screen name,screen number,X,Y,surface level (m NAP),screen top (m NAP), screen bottom (m NAP),begin date,end date
28AP0134_1,1,226181.29,488081.34,22.4,-1.6,-3.6,,

Datum(dd-mm-yyyy HH:MM:SS),grondwaterstand NAP Vitens(m NAP)
28-09-1982 12:00,8.34
14-10-1982 12:00,8.32
28-10-1982 12:00,8.28
15-11-1982 12:00,8.25
29-11-1982 12:00,8.23
14-12-1982 12:00,8.23
28-12-1982 12:00,8.2
14-01-1983 12:00,8.24
28-01-1983 12:00,8.24
14-02-1983 12:00,8.25
28-02-1983 12:00,8.28
13-03-1983 12:00,8.31
28-03-1983 12:00,8.32
14-04-1983 12:00,8.34
28-04-1983 12:00,8.36
13-05-1983 12:00,8.37
27-05-1983 12:00,8.41
14-06-1983 12:00,8.35
28-06-1983 12:00,8.49
14-07-1983 12:00,8.54
28-07-1983 12:00,8.57
28-08-1983 12:00,8.59
14-09-1983 12:00,8.58
28-09-1983 12:00,8.55
14-10-1983 12:00,8.54
28-10-1983 12:00,8.53
14-11-1983 12:00,8.49
28-11-1983 12:00,8.51
14-12-1983 12:00,8.47
28-12-1983 12:00,8.47
13-01-1984 12:00,8.52
27-01-1984 12:00,8.52
14-02-1984 12:00,8.57
14-05-1984 12:00,8.8
28-05-1984 12:00,8.81
14-06-1984 12:00,8.8
28-06-1984 12:00,8.85
13-07-1984 12:00,8.86
27-07-1984 12:00,8.86
14-08-1984 12:00,8.87
28-08-1984 12:00,8.85
14-09-1984 12:00,8.82
28-09-1984 12:00,8.79
15-10-1984 12:00,8.77
29-10-1984 12:00,8.77
14-11-1984 12:00,8.79
28-11-1984 12:00,8.78
14-12-1984 12:00,8.78
28-12-1984 12:00,8.76
14-01-1985 12:00,8.78
28-01-1985 12:00,8.8
14-02-1985 12:00,8.8
27-02-1985 12:00,8.78
15-03-1985 12:00,8.8
28-03-1985 12:00,8.77
15-04-1985 12:00,8.77
29-04-1985 12:00,8.78
13-05-1985 12:00,8.78
28-05-1985 12:00,8.76
14-06-1985 12:00,8.75
28-06-1985 12:00,8.75
15-07-1985 12:00,8.74
14-08-1985 12:00,8.73
13-09-1985 12:00,8.7
27-09-1985 12:00,8.68
14-10-1985 12:00,8.65
28-10-1985 12:00,8.64
14-11-1985 12:00,8.6
28-11-1985 12:00,8.59
13-12-1985 12:00,8.56
30-12-1985 12:00,8.54
14-01-1986 12:00,8.54
28-01-1986 12:00,8.55
14-02-1986 12:00,8.57
28-02-1986 12:00,8.58
14-03-1986 12:00,8.57
27-03-1986 12:00,8.58
28-04-1986 12:00,8.57
14-05-1986 12:00,8.57
28-05-1986 12:00,8.56
13-06-1986 12:00,8.53
27-06-1986 12:00,8.53
14-07-1986 12:00,8.5
14-08-1986 12:00,8.46
28-08-1986 12:00,8.44
15-09-1986 12:00,8.4
29-09-1986 12:00,8.36
14-10-1986 12:00,8.32
28-10-1986 12:00,8.29
14-11-1986 12:00,8.28
28-11-1986 12:00,8.25
15-12-1986 12:00,8.23
29-12-1986 12:00,8.22
14-01-1987 12:00,8.25
28-01-1987 12:00,8.29
13-02-1987 12:00,8.32
28-02-1987 12:00,8.34
12-03-1987 12:00,8.45
13-03-1987 12:00,8.36
27-03-1987 12:00,8.39
14-04-1987 12:00,8.4
28-04-1987 12:00,8.42
15-05-1987 12:00,8.44
29-05-1987 12:00,8.44
26-06-1987 12:00,8.46
14-07-1987 12:00,8.45
28-07-1987 12:00,8.44
14-08-1987 12:00,8.44
28-08-1987 12:00,8.42
14-09-1987 12:00,8.41
28-09-1987 12:00,8.42
14-10-1987 12:00,8.4
13-11-1987 12:00,8.41
27-11-1987 12:00,8.41
14-12-1987 12:00,8.43
28-12-1987 12:00,8.44
14-01-1988 12:00,8.48
28-01-1988 12:00,8.52
15-02-1988 12:00,8.56
29-02-1988 12:00,8.63
14-03-1988 12:00,8.68
28-03-1988 12:00,8.75
14-04-1988 12:00,8.81
27-04-1988 12:00,8.86
11-05-1988 12:00,8.91
14-06-1988 12:00,8.95
28-06-1988 12:00,8.96
14-07-1988 12:00,8.93
28-07-1988 12:00,8.91
15-08-1988 12:00,8.9
29-08-1988 12:00,8.88
14-09-1988 12:00,8.85
28-09-1988 12:00,8.85
14-10-1988 12:00,8.81
28-10-1988 12:00,8.8
14-11-1988 12:00,8.76
28-11-1988 12:00,8.75
14-12-1988 12:00,8.72
28-12-1988 12:00,8.71
13-01-1989 12:00,8.73
27-01-1989 12:00,8.75
14-02-1989 12:00,8.75
28-02-1989 12:00,8.77
14-03-1989 12:00,8.75
28-03-1989 12:00,8.76
14-04-1989 12:00,8.78
28-04-1989 12:00,8.78
12-05-1989 12:00,8.79
14-06-1989 12:00,8.72
28-06-1989 12:00,8.69
14-07-1989 12:00,8.66
28-07-1989 12:00,8.63
14-08-1989 12:00,8.6
28-08-1989 12:00,8.56
15-09-1989 12:00,8.52
28-09-1989 12:00,8.49
13-10-1989 12:00,8.45
27-10-1989 12:00,8.41
13-11-1989 12:00,8.36
28-11-1989 12:00,8.32
14-12-1989 12:00,8.3
28-12-1989 12:00,8.25
15-01-1990 12:00,8.22
29-01-1990 12:00,8.19
14-02-1990 12:00,8.17
28-02-1990 12:00,8.17
14-03-1990 12:00,8.16
28-03-1990 12:00,8.18
13-04-1990 12:00,8.2
27-04-1990 12:00,8.19
14-05-1990 12:00,8.18
28-05-1990 12:00,8.15
14-06-1990 12:00,8.13
28-06-1990 12:00,8.11
13-07-1990 12:00,8.09
27-07-1990 12:00,8.07
14-08-1990 12:00,8.03
28-08-1990 12:00,8.0
14-09-1990 12:00,7.97
15-10-1990 12:00,7.93
29-10-1990 12:00,7.89
14-11-1990 12:00,7.86
28-11-1990 12:00,7.84
14-12-1990 12:00,7.83
28-12-1990 12:00,7.83
14-01-1991 12:00,7.84
28-01-1991 12:00,7.86
14-02-1991 12:00,7.88
01-03-1991 12:00,7.89
14-03-1991 12:00,7.87
28-03-1991 12:00,7.87
15-04-1991 12:00,7.84
29-04-1991 12:00,7.83
14-05-1991 12:00,7.81
28-05-1991 12:00,7.8
15-07-1991 12:00,7.75
29-07-1991 12:00,7.74
14-08-1991 12:00,7.73
28-08-1991 12:00,7.71
13-09-1991 12:00,7.68
27-09-1991 12:00,7.67
14-10-1991 12:00,7.66
28-10-1991 12:00,7.61
29-11-1991 12:00,7.58
13-12-1991 12:00,7.56
14-01-1992 12:00,7.57
28-01-1992 12:00,7.57
14-02-1992 12:00,7.59
28-02-1992 12:00,7.6
13-03-1992 12:00,7.6
27-03-1992 12:00,7.62
14-04-1992 12:00,7.63
28-04-1992 12:00,7.65
14-05-1992 12:00,7.67
27-05-1992 12:00,7.68
15-06-1992 12:00,7.68
29-06-1992 12:00,7.67
14-07-1992 12:00,7.63
28-07-1992 12:00,7.62
28-08-1992 12:00,7.58
28-09-1992 12:00,7.56
14-10-1992 12:00,7.56
29-10-1992 12:00,7.55
13-11-1992 12:00,7.55
27-11-1992 12:00,7.55
14-12-1992 12:00,7.58
28-12-1992 12:00,7.6
14-01-1993 12:00,7.65
28-01-1993 12:00,7.69
15-02-1993 12:00,7.73
01-03-1993 12:00,7.77
15-03-1993 12:00,7.81
29-03-1993 12:00,7.85
14-04-1993 12:00,7.89
28-04-1993 12:00,7.91
14-05-1993 12:00,7.93
28-05-1993 12:00,7.95
14-06-1993 12:00,7.95
28-06-1993 12:00,7.95
14-07-1993 12:00,7.95
28-07-1993 12:00,7.94
28-08-1993 12:00,7.98
14-09-1993 12:00,8.0
14-10-1993 12:00,8.05
28-10-1993 12:00,8.09
15-11-1993 12:00,8.11
29-11-1993 12:00,8.2
13-12-1993 12:00,8.27
28-12-1993 12:00,8.32
